scatter energy,scatter locations,absorption energies,absorption locations
0.330838,"[-13.4, 0.0, 80.6]",0.306273,"[0.0, -13.4, 80.6]"
0.407379,"[-13.4, 0.0, 80.6]",0.216976,"[0.0, -13.4, 80.6]"
0.427911,"[-13.4, 0.0, 80.6]",0.265638,"[0.0, -13.4, 80.6]"
0.431498,"[0.0, 13.4, 80.6]",0.202553,"[13.4, 0.0, 80.6]"
0.371868,"[0.0, -13.4, 80.6]",0.322271,"[-13.4, 0.0, 80.6]"
0.368336,"[13.4, 0.0, 80.6]",0.245476,"[0.0, 13.4, 80.6]"
0.137212,"[3.4, -5.0, 40.8]",0.380377,"[13.4, 0.0, 80.6]"
0.396311,"[13.4, 0.0, 80.6]",0.294825,"[0.0, -13.4, 80.6]"
0.350562,"[-13.4, 0.0, 80.6]",0.29315,"[13.4, 0.0, 80.6]"
0.36201,"[0.0, 13.4, 80.6]",0.270732,"[0.0, -13.4, 80.6]"
0.361337,"[13.4, 0.0, 80.6]",0.342239,"[0.0, -13.4, 80.6]"
0.422091,"[-13.4, 0.0, 80.6]",0.0843528,"[0.0, 13.4, 80.6]"
0.382895,"[-13.4, 0.0, 80.6]",0.237316,"[13.4, 0.0, 80.6]"
0.396016,"[0.0, -13.4, 80.6]",0.313631,"[-13.4, 0.0, 80.6]"
0.144409,"[10.6, 2.7, 39.2]",0.531727,"[-13.4, 0.0, 80.6]"
0.343328,"[0.0, -13.4, 80.6]",0.286499,"[0.0, 13.4, 80.6]"
0.0951383,"[10.6, 2.7, 39.2]",0.271111,"[0.0, 13.4, 80.6]"
0.332344,"[-13.4, 0.0, 80.6]",0.318857,"[0.0, 13.4, 80.6]"
0.356807,"[13.4, 0.0, 80.6]",0.319352,"[0.0, -13.4, 80.6]"
0.355784,"[0.0, 13.4, 80.6]",0.34317,"[13.4, 0.0, 80.6]"
0.124259,"[10.6, 2.7, 39.2]",0.510082,"[0.0, -13.4, 80.6]"
0.417159,"[0.0, 13.4, 80.6]",0.292546,"[-13.4, 0.0, 80.6]"
0.334812,"[-13.4, 0.0, 80.6]",0.315985,"[0.0, 13.4, 80.6]"
0.400829,"[-13.4, 0.0, 80.6]",0.132908,"[13.4, 0.0, 80.6]"
0.412844,"[0.0, -13.4, 80.6]",0.272369,"[0.0, 13.4, 80.6]"
0.35086,"[13.4, 0.0, 80.6]",0.344098,"[0.0, -13.4, 80.6]"
0.422218,"[0.0, -13.4, 80.6]",0.288292,"[13.4, 0.0, 80.6]"
0.36218,"[0.0, 13.4, 80.6]",0.345216,"[13.4, 0.0, 80.6]"
0.400048,"[13.4, 0.0, 80.6]",0.226303,"[0.0, -13.4, 80.6]"
0.208722,"[3.4, -5.0, 40.8]",0.0877181,"[0.0, 13.4, 80.6]"
0.401788,"[0.0, -13.4, 80.6]",0.28445,"[0.0, 13.4, 80.6]"
0.412475,"[-13.4, 0.0, 80.6]",0.212484,"[0.0, -13.4, 80.6]"
0.36312,"[0.0, 13.4, 80.6]",0.320328,"[-13.4, 0.0, 80.6]"
0.355771,"[13.4, 0.0, 80.6]",0.344198,"[0.0, -13.4, 80.6]"
0.370465,"[13.4, 0.0, 80.6]",0.339301,"[0.0, -13.4, 80.6]"
