scatter energy,scatter locations,absorption energies,absorption locations,scatter channels,absorption channels
0.19327731092436976,"[10.6, 2.7, 39.2]",0.4606741573033708,"[-13.4, 0.0, 80.6]",3,4
0.41713483146067415,"[-13.4, 0.0, 80.6]",0.23498659517426276,"[0.0, 13.4, 80.6]",4,5
0.06554621848739496,"[10.6, 2.7, 39.2]",0.6004347826086956,"[13.4, 0.0, 80.6]",3,6
0.12077551020408163,"[-3.2, 3.5, 39.6]",0.5352173913043479,"[13.4, 0.0, 80.6]",0,6
0.2134453781512605,"[10.6, 2.7, 39.2]",0.44864091559370534,"[0.0, -13.4, 80.6]",3,7
0.3571020408163265,"[-3.2, 3.5, 39.6]",0.3142857142857143,"[10.6, 2.7, 39.2]",0,3
0.14991869918699188,"[3.4, -5.0, 40.8]",0.5097855227882038,"[0.0, 13.4, 80.6]",2,5
0.339544235924933,"[0.0, 13.4, 80.6]",0.3146067415730337,"[-13.4, 0.0, 80.6]",5,4
0.22100840336134453,"[10.6, 2.7, 39.2]",0.43290414878397715,"[0.0, -13.4, 80.6]",3,7
0.37359550561797755,"[-13.4, 0.0, 80.6]",0.27922252010723864,"[0.0, 13.4, 80.6]",4,5
0.4021311475409836,"[-2.3, -2.2, 41.3]",0.2600813008130081,"[3.4, -5.0, 40.8]",1,2
0.37424892703862667,"[0.0, -13.4, 80.6]",0.2794943820224719,"[-13.4, 0.0, 80.6]",7,4
0.3623324396782842,"[0.0, 13.4, 80.6]",0.30188405797101453,"[13.4, 0.0, 80.6]",5,6
0.3966938775510204,"[-3.2, 3.5, 39.6]",0.2611475409836066,"[-2.3, -2.2, 41.3]",0,1
0.1456734693877551,"[-3.2, 3.5, 39.6]",0.5158798283261803,"[0.0, -13.4, 80.6]",0,7
0.41751020408163264,"[-3.2, 3.5, 39.6]",0.24243697478991597,"[10.6, 2.7, 39.2]",0,3
0.36137339055793993,"[0.0, -13.4, 80.6]",0.29213483146067415,"[-13.4, 0.0, 80.6]",7,4
